num,initiator_list,days_total,days_per_stage_avg,result_stage,stage_days_1,stage_days_2,stage_days_3,stage_days_4,stage_days_5,stage_days_6,stage_days_7,stage_days_8,stage_workdays_1,stage_workdays_2,stage_workdays_3,stage_workdays_4,stage_workdays_5,stage_workdays_6,stage_workdays_7,stage_workdays_8,stage_break_days_1,stage_break_days_2,stage_break_days_3,stage_break_days_4,stage_break_days_5,stage_break_days_6,stage_break_days_7,stage_break_days_8,stage_break_workdays_1,stage_break_workdays_2,stage_break_workdays_3,stage_break_workdays_4,stage_break_workdays_5,stage_break_workdays_6,stage_break_workdays_7,stage_break_workdays_8,is_federal,is_deputy,is_ex_deputy,is_ex_counsil_member,is_council_member,is_legislature
10769-7,['5c77c6ebfed91f583dd7b2c3'],239,22,3.3,5,2,200,0,0,0,0,0,2,2,134,0,0,0,0,0,14,19,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,1
465180-6,"['5c77c6e1fed91f583dd7ad2f', '5c77c6e1fed91f583dd7ad41', '5c77c6d8fed91f583dd7a8ec', '5c77c6defed91f583dd7abb4']",1200,58,3.3,1198,15,1125,0,0,0,0,0,827,10,778,0,0,0,0,0,-1171,35,0,0,0,0,0,0,-809,23,0,0,0,0,0,0,0,4,0,0,0,0
925837-6,"['5c77c6e1fed91f583dd7ad2f', '5c77c6dbfed91f583dd7aa41', '5c77c6d8fed91f583dd7a8db', '5c77c6d7fed91f583dd7a857', '5c77c6d9fed91f583dd7a935', '5c77c6ddfed91f583dd7ab18', '5c77c6d8fed91f583dd7a8e4', '5c77c6e3fed91f583dd7adfb', '5c77c6dbfed91f583dd7aa08']",584,19,3.3,575,323,25,0,0,0,0,0,394,222,17,0,0,0,0,0,-566,229,0,0,0,0,0,0,-387,155,0,0,0,0,0,0,0,8,1,0,0,0
925819-6,"['5c77c6e1fed91f583dd7ad2f', '5c77c6dbfed91f583dd7aa41', '5c77c6d7fed91f583dd7a857', '5c77c6d9fed91f583dd7a935', '5c77c6ddfed91f583dd7ab18', '5c77c6d8fed91f583dd7a8e4', '5c77c6dbfed91f583dd7aa08']",584,21,3.3,575,322,149,0,0,0,0,0,394,217,101,0,0,0,0,0,-566,105,0,0,0,0,0,0,-387,71,0,0,0,0,0,0,0,6,1,0,0,0
41162-7,['5c77c6ebfed91f583dd7b2c7'],198,15,3.3,188,7,130,0,0,0,0,0,126,0,88,0,0,0,0,0,-145,19,0,0,0,0,0,0,-98,13,0,0,0,0,0,0,0,0,0,0,0,1
7735-7,['5c77c6ebfed91f583dd7b288'],241,27,3.3,159,40,25,0,0,0,0,0,107,28,17,0,0,0,0,0,-136,154,0,0,0,0,0,0,-90,102,0,0,0,0,0,0,0,0,0,0,0,1
1027506-6,['5c77c6ebfed91f583dd7b2a6'],448,35,3.3,180,183,23,0,0,0,0,0,126,129,15,0,0,0,0,0,-168,231,0,0,0,0,0,0,-118,157,0,0,0,0,0,0,0,0,0,0,0,1
1013570-6,['5c77c6d5fed91f583dd7a716'],463,47,4.3,1,4,3,254,0,0,0,0,0,3,2,172,0,0,0,0,3,59,140,0,0,0,0,0,2,41,100,0,0,0,0,0,1,0,0,0,0,0
800660-6,['5c77c6d5fed91f583dd7a716'],752,69,4.3,2,8,10,254,0,0,0,0,2,4,7,172,0,0,0,0,11,90,378,0,0,0,0,0,8,60,262,0,0,0,0,0,1,0,0,0,0,0
812130-6,"['5c77c6d5fed91f583dd7a75c', '5c77c6dffed91f583dd7ac70', '5c77c6d6fed91f583dd7a7c7']",737,57,4.3,10,5,3,254,0,0,0,0,7,2,2,172,0,0,0,0,-9,1,474,0,0,0,0,0,-6,2,331,0,0,0,0,0,0,1,2,0,0,0
654664-6,['5c77c6d5fed91f583dd7a716'],940,79,4.3,1,2,5,254,0,0,0,0,0,2,4,172,0,0,0,0,-1,18,663,0,0,0,0,0,0,12,458,0,0,0,0,0,1,0,0,0,0,0
654634-6,['5c77c6d5fed91f583dd7a716'],941,79,4.3,1,3,5,254,0,0,0,0,0,2,4,172,0,0,0,0,-2,18,663,0,0,0,0,0,-1,12,458,0,0,0,0,0,1,0,0,0,0,0
27293-7,"['5c77c6d7fed91f583dd7a83a', '5c77c6d8fed91f583dd7a8c5']",212,20,3.3,112,5,178,0,0,0,0,0,70,3,118,0,0,0,0,0,-89,7,0,0,0,0,0,0,-58,5,0,0,0,0,0,0,0,0,2,0,0,0
1083166-6,"['5c77c6d8fed91f583dd7a8d4', '5c77c6d9fed91f583dd7a902', '5c77c6e0fed91f583dd7ac99', '5c77c6e2fed91f583dd7ad8e', '5c77c6e4fed91f583dd7aec7']",385,15,3.3,380,120,185,0,0,0,0,0,263,85,123,0,0,0,0,0,-366,67,0,0,0,0,0,0,-253,48,0,0,0,0,0,0,0,4,1,0,0,0
14878-7,['5c77c6ebfed91f583dd7b2a2'],231,8,3.3,48,7,178,0,0,0,0,0,33,0,118,0,0,0,0,0,-15,14,0,0,0,0,0,0,-10,10,0,0,0,0,0,0,0,0,0,0,0,1
751993-6,"['5c77c6d5fed91f583dd7a721', '5c77c6d7fed91f583dd7a854', '5c77c6e0fed91f583dd7acdf', '5c77c6d8fed91f583dd7a8d4', '5c77c6d9fed91f583dd7a902', '5c77c6e0fed91f583dd7ac99', '5c77c6e2fed91f583dd7ad8e', '5c77c6e4fed91f583dd7aec7', '5c77c6e1fed91f583dd7ad69', '5c77c6e2fed91f583dd7ad93', '5c77c6e5fed91f583dd7af2e', '5c77c6d6fed91f583dd7a7db']",813,28,3.3,1,546,127,0,0,0,0,0,0,375,85,0,0,0,0,0,14,126,0,0,0,0,0,0,10,86,0,0,0,0,0,0,0,8,4,0,0,0
715823-6,"['5c77c6d7fed91f583dd7a825', '5c77c6e0fed91f583dd7ac8a']",861,26,3.3,414,19,253,0,0,0,0,0,285,12,171,0,0,0,0,0,-394,569,0,0,0,0,0,0,-272,398,0,0,0,0,0,0,0,1,1,0,0,0
162019-7,['5c77c6d6fed91f583dd7a79b'],49,13,2.1,39,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0
159586-7,"['5c77c6d6fed91f583dd7a79b', '5c77c6d8fed91f583dd7a8a1']",51,8,2.1,41,29,0,0,0,0,0,0,27,19,0,0,0,0,0,0,-18,0,0,0,0,0,0,0,-12,0,0,0,0,0,0,0,0,0,2,0,0,0
1142571-6,['5c77c6ebfed91f583dd7b290'],316,36,3.3,246,7,10,0,0,0,0,0,169,0,6,0,0,0,0,0,-147,201,0,0,0,0,0,0,-94,135,0,0,0,0,0,0,0,0,0,0,0,1
184777-7,"['5c77c6e5fed91f583dd7af93', '5c77c6e5fed91f583dd7af90']",22,8,2.1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0
