id,initiator_name,initiator_type,wins,avg_result,wins_per,result_1,result_2,result_3,result_4,result_5,result_6,result_7,result_8
5c77c6d5fed91f583dd7a714,Президент Российской Федерации,Федеральный СПЗИ,80,4,0.028308563340410473,453,411,603,322,176,781,0,80
5c77c6d5fed91f583dd7a715,Совет Федерации,Федеральный СПЗИ,7,4,0.051094890510948905,23,16,28,28,7,28,0,7
5c77c6d5fed91f583dd7a716,Правительство Российской Федерации,Федеральный СПЗИ,1214,4,0.042571097941578706,3838,3661,6184,5152,2502,5933,33,1214
5c77c6d5fed91f583dd7a717,Конституционный Суд Российской Федерации,Федеральный СПЗИ,0,0,0,0,0,0,0,0,0,0,0
5c77c6d5fed91f583dd7a718,Верховный Суд Российской Федерации,Федеральный СПЗИ,26,3,0.036414565826330535,150,109,135,102,75,112,5,26
5c77c6d5fed91f583dd7a719,Высший Арбитражный Суд Российской Федерации,Федеральный СПЗИ,0,2,0.0,4,4,6,0,0,0,0,0
5c77c6d5fed91f583dd7a71a,Авдеев Александр Александрович,Депутат Государственной Думы,2,2,0.00816326530612245,154,16,51,5,6,11,0,2
5c77c6d5fed91f583dd7a71b,Авдеев Михаил Юрьевич,Депутат Государственной Думы,2,2,0.011627906976744186,63,29,52,14,4,8,0,2
5c77c6d5fed91f583dd7a71c,Агаев Ваха Абуевич,Депутат Государственной Думы,9,3,0.022900763358778626,172,53,76,37,10,36,0,9
5c77c6d5fed91f583dd7a71d,Адучиев Батор Канурович,Депутат Государственной Думы,4,1,0.005925925925925926,561,25,35,16,12,22,0,4
5c77c6d5fed91f583dd7a71e,Азимов Рахим Азизбоевич,Депутат Государственной Думы,38,2,0.007452441655226515,4187,175,268,159,105,164,3,38
5c77c6d5fed91f583dd7a71f,Аксаков Анатолий Геннадьевич,Депутат Государственной Думы,64,2,0.01664932362122789,1748,370,905,285,146,313,13,64
5c77c6d5fed91f583dd7a720,Алексеева Татьяна Олеговна,Депутат Государственной Думы,41,2,0.01684470008216927,1622,125,231,187,66,162,0,41
5c77c6d5fed91f583dd7a721,Алимова Ольга Николаевна,Депутат Государственной Думы,3,2,0.0023828435266084196,433,176,620,9,6,12,0,3
5c77c6d5fed91f583dd7a722,Алферов Жорес Иванович,Депутат Государственной Думы,0,2,0.0,67,42,120,0,0,0,0,0
5c77c6d5fed91f583dd7a723,Альшевских Андрей Геннадьевич,Депутат Государственной Думы,2,2,0.0111731843575419,125,10,24,5,5,8,0,2
5c77c6d5fed91f583dd7a724,Ананских Игорь Александрович,Депутат Государственной Думы,11,2,0.006543723973825104,623,166,761,45,23,52,0,11
5c77c6d5fed91f583dd7a725,Андрейченко Андрей Валерьевич,Депутат Государственной Думы,2,2,0.003703703703703704,215,51,234,17,6,12,3,2
5c77c6d5fed91f583dd7a726,Аникеев Григорий Викторович,Депутат Государственной Думы,7,2,0.013618677042801557,369,25,34,31,20,28,0,7
