id,initiator_name,initiator_type,wins,avg_result,wins_per,result_1,result_2,result_3,result_4,result_5,result_6,result_7,result_8
5c77c6d5fed91f583dd7a727,Антонова Лидия Николаевна,Депутат Государственной Думы,5,2,0.012468827930174564,296,14,35,19,12,20,0,5
5c77c6d5fed91f583dd7a728,Антошкин Николай Тимофеевич,Депутат Государственной Думы,16,2,0.008662696264212236,1445,73,150,66,33,64,0,16
5c77c6d5fed91f583dd7a729,Арефьев Николай Васильевич,Депутат Государственной Думы,4,2,0.004410143329658214,303,143,420,14,7,16,0,4
5c77c6d5fed91f583dd7a72a,Аршба Отари Ионович,Депутат Государственной Думы,10,3,0.02512562814070352,206,22,54,33,29,44,0,10
5c77c6d5fed91f583dd7a72b,Аршинова Алена Игоревна,Депутат Государственной Думы,52,2,0.020007695267410544,1673,121,216,239,89,209,0,52
5c77c6d5fed91f583dd7a72c,Аскендеров Заур Асевович,Депутат Государственной Думы,46,2,0.014814814814814815,2095,168,280,209,91,201,15,46
5c77c6d5fed91f583dd7a72d,Афонин Юрий Вячеславович,Депутат Государственной Думы,1,2,0.0017889087656529517,270,97,183,4,0,4,0,1
5c77c6d5fed91f583dd7a72e,Афонский Владимир Игорьевич,Депутат Государственной Думы,59,2,0.010016977928692699,4393,295,483,259,128,270,3,59
5c77c6d5fed91f583dd7a72f,Байгускаров Зариф Закирович,Депутат Государственной Думы,18,2,0.012203389830508475,1101,63,112,62,47,72,0,18
5c77c6d5fed91f583dd7a730,Балыбердин Алексей Владимирович,Депутат Государственной Думы,8,2,0.007722007722007722,826,42,60,33,25,42,0,8
5c77c6d5fed91f583dd7a731,Балыхин Григорий Артемович,Депутат Государственной Думы,24,2,0.021071115013169446,739,53,99,101,31,92,0,24
5c77c6d5fed91f583dd7a732,Бальбек Руслан Исмаилович,Депутат Государственной Думы,6,2,0.018867924528301886,160,37,50,20,18,27,0,6
5c77c6d5fed91f583dd7a733,Бариев Марат Мансурович,Депутат Государственной Думы,109,2,0.013164251207729469,5861,437,713,486,200,468,6,109
5c77c6d5fed91f583dd7a734,Барышев Андрей Викторович,Депутат Государственной Думы,1,1,0.0017064846416382253,511,32,34,2,2,4,0,1
5c77c6d5fed91f583dd7a735,Баталина Ольга Юрьевна,Депутат Государственной Думы,72,2,0.01689347724073205,2784,229,401,321,143,312,0,72
5c77c6d5fed91f583dd7a736,Баталова Рима Акбердиновна,Депутат Государственной Думы,45,2,0.014754098360655738,2076,173,277,195,78,200,6,45
5c77c6d5fed91f583dd7a737,Бахарев Константин Михайлович,Депутат Государственной Думы,6,2,0.018575851393188854,170,34,47,23,16,27,0,6
5c77c6d5fed91f583dd7a738,Бахметьев Виталий Викторович,Депутат Государственной Думы,12,2,0.008026755852842809,1178,67,96,46,35,61,0,12
5c77c6d5fed91f583dd7a739,Белеков Иван Итулович,Депутат Государственной Думы,12,2,0.011225444340505144,782,58,91,43,31,52,0,12
5c77c6d5fed91f583dd7a73a,Белик Дмитрий Анатольевич,Депутат Государственной Думы,35,2,0.008450024142926123,3186,195,297,157,111,161,0,35
5c77c6d5fed91f583dd7a73b,Белоусов Вадим Владимирович,Депутат Государственной Думы,29,2,0.012435677530017153,1072,200,712,123,76,120,0,29
5c77c6d5fed91f583dd7a73c,Белых Ирина Викторовна,Депутат Государственной Думы,42,2,0.012503721345638583,2427,145,268,180,102,183,12,42
5c77c6d5fed91f583dd7a73d,Березуцкий Юрий Николаевич,Депутат Государственной Думы,22,2,0.009523809523809525,1813,84,149,84,62,96,0,22
5c77c6d5fed91f583dd7a73e,Беспалова Марина Павловна,Депутат Государственной Думы,25,2,0.008135372600065083,2311,150,274,108,85,120,0,25
5c77c6d5fed91f583dd7a73f,Бессараб Светлана Викторовна,Депутат Государственной Думы,27,2,0.008774780630484237,2412,118,191,118,86,122,3,27
5c77c6d5fed91f583dd7a740,Бессарабов Даниил Владимирович,Депутат Государственной Думы,4,2,0.015873015873015872,168,16,26,12,10,16,0,4
5c77c6d5fed91f583dd7a741,Бикбаев Ильдар Зинурович,Депутат Государственной Думы,15,2,0.011329305135951661,1012,56,85,51,45,60,0,15
5c77c6d5fed91f583dd7a742,Бифов Анатолий Жамалович,Депутат Государственной Думы,11,3,0.017543859649122806,260,71,159,54,16,56,0,11
5c77c6d5fed91f583dd7a743,Блоцкий Владимир Николаевич,Депутат Государственной Думы,2,2,0.005012531328320802,171,57,150,6,5,8,0,2
5c77c6d5fed91f583dd7a744,Богодухов Владимир Иванович,Депутат Государственной Думы,7,2,0.010115606936416185,501,33,60,37,22,32,0,7
5c77c6d5fed91f583dd7a745,Богуславский Ирек Борисович,Депутат Государственной Думы,101,2,0.01648172323759791,3859,380,631,499,183,452,23,101
5c77c6d5fed91f583dd7a746,Боева Наталья Дмитриевна,Депутат Государственной Думы,27,1,0.006006674082313682,3729,176,258,113,76,116,0,27
5c77c6d5fed91f583dd7a747,Боженов Сергей Андреевич,Депутат Государственной Думы,4,1,0.005390835579514825,617,26,46,14,13,22,0,4
5c77c6d5fed91f583dd7a748,Бокк Владимир Владимирович,Депутат Государственной Думы,2,1,0.006430868167202572,251,15,25,6,4,8,0,2
5c77c6d5fed91f583dd7a749,Бондаренко Елена Вениаминовна,Депутат Государственной Думы,12,2,0.0070880094506792675,1354,77,112,47,38,53,0,12
5c77c6d5fed91f583dd7a74a,Бондарь Оксана Андреевна,Депутат Государственной Думы,32,2,0.006305418719211823,4111,190,311,159,112,157,3,32
5c77c6d5fed91f583dd7a74b,Бортко Владимир Владимирович,Депутат Государственной Думы,3,2,0.006507592190889371,219,78,126,13,6,16,0,3
5c77c6d5fed91f583dd7a74c,Борцов Николай Иванович,Депутат Государственной Думы,33,2,0.01930953774136922,1051,93,167,162,53,140,10,33
5c77c6d5fed91f583dd7a74d,Боташев Расул Борисович,Депутат Государственной Думы,2,2,0.01282051282051282,120,6,7,8,5,8,0,2
5c77c6d5fed91f583dd7a74e,Боярский Сергей Михайлович,Депутат Государственной Думы,9,2,0.01607142857142857,373,41,54,28,20,35,0,9
5c77c6d5fed91f583dd7a74f,Брыкин Николай Гаврилович,Депутат Государственной Думы,23,2,0.008214285714285714,2237,108,171,86,71,101,3,23
5c77c6d5fed91f583dd7a750,Брыксин Александр Юрьевич,Депутат Государственной Думы,28,2,0.007520816545796401,2910,139,277,143,65,146,15,28
5c77c6d5fed91f583dd7a751,Бугера Михаил Евгеньевич,Депутат Государственной Думы,5,2,0.008849557522123894,429,23,43,25,13,24,3,5
5c77c6d5fed91f583dd7a752,Будуев Николай Робертович,Депутат Государственной Думы,10,1,0.006493506493506494,1265,61,105,35,24,40,0,10
5c77c6d5fed91f583dd7a753,Бузилов Валерий Викторович,Депутат Государственной Думы,42,2,0.009491525423728813,3445,165,276,170,132,195,0,42
5c77c6d5fed91f583dd7a754,Букачаков Родион Борисович,Депутат Государственной Думы,15,1,0.006224066390041493,2004,86,136,64,39,66,0,15
5c77c6d5fed91f583dd7a755,Булавинов Вадим Евгеньевич,Депутат Государственной Думы,27,2,0.015237020316027089,1138,92,183,150,51,119,12,27
5c77c6d5fed91f583dd7a756,Бурматов Владимир Владимирович,Депутат Государственной Думы,45,2,0.014267596702599873,2272,124,236,178,104,188,7,45
5c77c6d5fed91f583dd7a757,Бурнашов Алексей Леонидович,Депутат Государственной Думы,6,2,0.007585335018963337,638,32,40,26,19,30,0,6
5c77c6d5fed91f583dd7a758,Быков Олег Петрович,Депутат Государственной Думы,4,2,0.0087527352297593,340,19,32,19,17,26,0,4
5c77c6d5fed91f583dd7a759,Валеев Эрнест Абдулович,Депутат Государственной Думы,29,2,0.019890260631001373,880,98,152,107,62,130,0,29
5c77c6d5fed91f583dd7a75a,Валенчук Олег Дорианович,Депутат Государственной Думы,14,2,0.013133208255159476,751,51,95,59,28,68,0,14
5c77c6d5fed91f583dd7a75b,Валуев Николай Сергеевич,Депутат Государственной Думы,22,2,0.014416775884665793,1027,86,148,105,40,98,0,22
5c77c6d5fed91f583dd7a75c,Василенко Александр Борисович,Депутат Государственной Думы,15,2,0.006318449873631003,1854,108,222,70,38,67,0,15
5c77c6d5fed91f583dd7a75d,Васильев Александр Николаевич,Депутат Государственной Думы,6,2,0.01293103448275862,283,41,59,25,16,27,7,6
5c77c6d5fed91f583dd7a75e,Веллер Алексей Борисович,Депутат Государственной Думы,2,2,0.009216589861751152,117,25,41,12,8,12,0,2
5c77c6d5fed91f583dd7a75f,Веремеенко Сергей Алексеевич,Депутат Государственной Думы,3,3,0.0379746835443038,31,6,12,9,6,12,0,3
5c77c6d5fed91f583dd7a760,Ветлужских Андрей Леонидович,Депутат Государственной Думы,20,2,0.006576783952647156,2481,130,188,79,57,86,0,20
5c77c6d5fed91f583dd7a761,Власов Василий Максимович,Депутат Государственной Думы,1,2,0.0037593984962406013,73,30,154,2,2,4,0,1
5c77c6d5fed91f583dd7a762,Водолацкий Виктор Петрович,Депутат Государственной Думы,139,2,0.013387267649041704,7320,530,854,627,296,614,3,139
5c77c6d5fed91f583dd7a763,Воевода Алексей Иванович,Депутат Государственной Думы,23,2,0.009627459187944746,1826,109,161,98,67,102,3,23
5c77c6d5fed91f583dd7a764,Волков Юрий Геннадьевич,Депутат Государственной Думы,1,2,0.003194888178913738,126,24,140,8,4,10,0,1
5c77c6d5fed91f583dd7a765,Володин Вячеслав Викторович,Депутат Государственной Думы,12,3,0.03409090909090909,97,34,52,58,36,56,7,12
5c77c6d5fed91f583dd7a766,Воробьев Александр Васильевич,Депутат Государственной Думы,3,2,0.006382978723404255,386,17,24,13,9,18,0,3
5c77c6d5fed91f583dd7a767,Воронина Татьяна Евгеньевна,Депутат Государственной Думы,5,1,0.0055617352614015575,764,30,50,18,12,20,0,5
5c77c6d5fed91f583dd7a768,Вострецов Сергей Алексеевич,Депутат Государственной Думы,17,2,0.008220502901353965,1595,106,160,71,45,71,3,17
5c77c6d5fed91f583dd7a769,Вторыгина Елена Андреевна,Депутат Государственной Думы,66,2,0.0136844287787684,3453,230,343,327,113,291,0,66
5c77c6d5fed91f583dd7a76a,Выборный Анатолий Борисович,Депутат Государственной Думы,121,2,0.01640233157109936,4792,421,691,579,228,537,8,121
5c77c6d5fed91f583dd7a76b,Вяткин Дмитрий Федорович,Депутат Государственной Думы,45,2,0.01947209000432713,1350,155,279,186,96,200,0,45
5c77c6d5fed91f583dd7a76c,Гаврилов Сергей Анатольевич,Депутат Государственной Думы,25,2,0.017385257301808066,696,162,269,125,25,136,0,25
5c77c6d5fed91f583dd7a76d,Гаджиев Магомед Тажудинович,Депутат Государственной Думы,129,2,0.01343889988540473,6757,493,805,582,260,570,3,129
5c77c6d5fed91f583dd7a76e,Гаджиев Мурад Станиславович,Депутат Государственной Думы,94,2,0.010799632352941176,6485,389,663,430,212,416,15,94
5c77c6d5fed91f583dd7a76f,Гадыльшин Мурад Асфандиарович,Депутат Государственной Думы,7,1,0.0065420560747663555,898,33,60,25,17,30,0,7
5c77c6d5fed91f583dd7a770,Газгиреев Юшаа Орснакиевич,Депутат Государственной Думы,5,2,0.009191176470588236,400,26,59,17,13,24,0,5
5c77c6d5fed91f583dd7a771,Газзаев Валерий Георгиевич,Депутат Государственной Думы,4,2,0.0033444816053511705,317,162,675,11,11,16,0,4
5c77c6d5fed91f583dd7a772,Ганзя Вера Анатольевна,Депутат Государственной Думы,3,2,0.002967359050445104,359,134,488,9,6,12,0,3
5c77c6d5fed91f583dd7a773,Ганиев Фарит Глюсович,Депутат Государственной Думы,13,1,0.005565068493150685,1956,80,138,57,33,56,3,13
5c77c6d5fed91f583dd7a774,Гартунг Валерий Карлович,Депутат Государственной Думы,6,2,0.0037998733375554147,498,213,801,23,14,24,0,6
5c77c6d5fed91f583dd7a775,Геккиев Заур Далхатович,Депутат Государственной Думы,22,2,0.011270491803278689,1475,89,139,84,51,92,0,22
5c77c6d5fed91f583dd7a776,Герасименко Николай Федорович,Депутат Государственной Думы,13,2,0.00988593155893536,1007,63,83,67,26,56,0,13
5c77c6d5fed91f583dd7a777,Германова Ольга Михайловна,Депутат Государственной Думы,8,2,0.007662835249042145,779,58,79,40,30,50,0,8
5c77c6d5fed91f583dd7a778,Гетта Антон Александрович,Депутат Государственной Думы,60,2,0.007729966503478485,5906,420,623,275,194,284,0,60
5c77c6d5fed91f583dd7a779,Гильмутдинов Ильдар Ирекович,Депутат Государственной Думы,90,2,0.016737957969127765,3392,327,572,446,137,407,6,90
5c77c6d5fed91f583dd7a77a,Гладких Борис Михайлович,Депутат Государственной Думы,14,2,0.00823529411764706,1293,71,147,69,39,64,3,14
5c77c6d5fed91f583dd7a77b,Говорин Николай Васильевич,Депутат Государственной Думы,59,2,0.00746740918871029,6242,330,554,263,176,274,3,59
5c77c6d5fed91f583dd7a77c,Гоголева Татьяна Степановна,Депутат Государственной Думы,2,2,0.016666666666666666,82,9,8,6,5,8,0,2
5c77c6d5fed91f583dd7a77d,Голушко Андрей Иванович,Депутат Государственной Думы,7,2,0.011864406779661017,459,26,33,23,14,28,0,7
5c77c6d5fed91f583dd7a77e,Гончар Николай Николаевич,Депутат Государственной Думы,27,3,0.030033370411568408,398,74,114,121,50,115,0,27
5c77c6d5fed91f583dd7a77f,Горелкин Антон Вадимович,Депутат Государственной Думы,5,2,0.01694915254237288,181,20,37,20,12,20,0,5
5c77c6d6fed91f583dd7a780,Грешневиков Анатолий Николаевич,Депутат Государственной Думы,6,2,0.0054446460980036296,305,125,604,22,16,24,0,6
5c77c6d6fed91f583dd7a781,Грибов Александр Сергеевич,Депутат Государственной Думы,15,2,0.017045454545454544,570,54,92,49,37,63,0,15
5c77c6d6fed91f583dd7a782,Гулевский Михаил Владимирович,Депутат Государственной Думы,34,2,0.010137149672033392,2501,155,245,144,112,160,3,34
5c77c6d6fed91f583dd7a783,Гусева Ирина Михайловна,Депутат Государственной Думы,65,2,0.01058459534277805,4582,321,464,266,163,280,0,65
5c77c6d6fed91f583dd7a784,Гутенев Владимир Владимирович,Депутат Государственной Думы,80,2,0.01845018450184502,2633,272,441,405,127,362,16,80
5c77c6d6fed91f583dd7a785,Дамдинов Алдар Валерьевич,Депутат Государственной Думы,4,2,0.013377926421404682,212,16,30,11,10,16,0,4
5c77c6d6fed91f583dd7a786,Данчикова Галина Иннокентьевна,Депутат Государственной Думы,40,2,0.009409550693954364,3157,206,379,164,127,178,0,40
5c77c6d6fed91f583dd7a787,Дегтярев Михаил Владимирович,Депутат Государственной Думы,12,2,0.005143591941705958,847,294,1043,58,28,51,0,12
5c77c6d6fed91f583dd7a788,Делимханов Адам Султанович,Депутат Государственной Думы,10,3,0.026041666666666668,199,32,48,39,17,39,0,10
5c77c6d6fed91f583dd7a789,Демченко Иван Иванович,Депутат Государственной Думы,3,1,0.0049504950495049506,505,25,38,15,8,12,0,3
5c77c6d6fed91f583dd7a78a,Деньгин Вадим Евгеньевич,Депутат Государственной Думы,13,3,0.009200283085633405,354,124,790,46,20,60,6,13
5c77c6d6fed91f583dd7a78b,Дерябкин Виктор Ефимович,Депутат Государственной Думы,2,1,0.002544529262086514,670,38,35,14,11,16,0,2
5c77c6d6fed91f583dd7a78c,Дзюба Виктор Викторович,Депутат Государственной Думы,9,2,0.009868421052631578,680,51,75,37,24,36,0,9
5c77c6d6fed91f583dd7a78d,Дивинский Игорь Борисович,Депутат Государственной Думы,23,2,0.020739404869251576,552,120,146,97,66,105,0,23
5c77c6d6fed91f583dd7a78e,Диденко Алексей Николаевич,Депутат Государственной Думы,7,2,0.0033444816053511705,487,245,1292,19,15,28,0,7
5c77c6d6fed91f583dd7a78f,Догаев Ахмед Шамханович,Депутат Государственной Думы,5,2,0.016339869281045753,216,15,23,15,12,20,0,5
5c77c6d6fed91f583dd7a790,Дорохин Павел Сергеевич,Депутат Государственной Думы,3,2,0.006756756756756757,183,72,150,15,9,12,0,3
5c77c6d6fed91f583dd7a791,Драпеко Елена Григорьевна,Депутат Государственной Думы,13,2,0.008009858287122612,626,150,684,60,30,60,0,13
5c77c6d6fed91f583dd7a792,Драчев Владимир Петрович,Депутат Государственной Думы,1,2,0.004132231404958678,195,11,14,7,6,8,0,1
5c77c6d6fed91f583dd7a793,Духанина Любовь Николаевна,Депутат Государственной Думы,14,2,0.007458710708577517,1469,75,136,64,51,68,0,14
5c77c6d6fed91f583dd7a794,Евланов Владимир Лазаревич,Депутат Государственной Думы,6,1,0.005110732538330494,981,42,66,33,16,30,0,6
5c77c6d6fed91f583dd7a795,Езерский Николай Николаевич,Депутат Государственной Думы,4,2,0.007067137809187279,234,74,218,17,3,16,0,4
5c77c6d6fed91f583dd7a796,Езубов Алексей Петрович,Депутат Государственной Думы,66,2,0.01142263759086189,4299,243,431,299,158,282,0,66
5c77c6d6fed91f583dd7a797,Елыкомов Валерий Анатольевич,Депутат Государственной Думы,14,1,0.00534147272033575,2219,88,130,68,42,60,0,14
5c77c6d6fed91f583dd7a798,Емельянов Михаил Васильевич,Депутат Государственной Думы,23,2,0.005757196495619525,1238,535,1957,87,57,98,0,23
5c77c6d6fed91f583dd7a799,Епифанова Ольга Николаевна,Депутат Государственной Думы,13,2,0.004320372216683284,1161,341,1337,54,32,64,7,13
5c77c6d6fed91f583dd7a79a,Есяков Сергей Яковлевич,Депутат Государственной Думы,3,2,0.02564102564102564,64,12,11,7,8,12,0,3
5c77c6d6fed91f583dd7a79b,Ефимов Виталий Борисович,Депутат Государственной Думы,7,2,0.011093502377179081,412,52,70,36,16,31,7,7
5c77c6d6fed91f583dd7a79c,Жарков Антон Викторович,Депутат Государственной Думы,44,2,0.010978043912175649,2959,194,311,214,97,186,3,44
5c77c6d6fed91f583dd7a79d,Железняк Сергей Владимирович,Депутат Государственной Думы,31,2,0.015609264853977844,1322,95,170,156,57,146,9,31
5c77c6d6fed91f583dd7a79e,Жигарев Сергей Александрович,Депутат Государственной Думы,5,2,0.009940357852882704,217,72,156,20,4,24,5,5
5c77c6d6fed91f583dd7a79f,Жириновский Владимир Вольфович,Депутат Государственной Думы,10,3,0.011376564277588168,220,129,396,48,29,47,0,10
5c77c6d6fed91f583dd7a7a0,Жуков Александр Дмитриевич,Депутат Государственной Думы,18,3,0.036511156186612576,205,42,64,70,22,72,0,18
5c77c6d6fed91f583dd7a7a1,Жупиков Александр Владимирович,Депутат Государственной Думы,3,2,0.008902077151335312,258,10,25,15,10,16,0,3
5c77c6d6fed91f583dd7a7a2,Журавлев Алексей Александрович,Депутат Государственной Думы,17,2,0.006609642301710731,2004,149,220,70,36,71,5,17
5c77c6d6fed91f583dd7a7a3,Журова Светлана Сергеевна,Депутат Государственной Думы,17,2,0.014166666666666666,867,52,84,66,44,70,0,17
5c77c6d6fed91f583dd7a7a4,Завальный Павел Николаевич,Депутат Государственной Думы,7,2,0.01694915254237288,267,26,34,28,19,32,0,7
5c77c6d6fed91f583dd7a7a5,Заварзин Виктор Михайлович,Депутат Государственной Думы,24,2,0.014527845036319613,1102,91,167,108,44,111,5,24
5c77c6d6fed91f583dd7a7a6,Загребин Алексей Егорович,Депутат Государственной Думы,25,2,0.010016025641025642,1928,96,155,97,80,115,0,25
5c77c6d6fed91f583dd7a7a7,Затулин Константин Федорович,Депутат Государственной Думы,1,2,0.006993006993006993,99,18,13,2,2,8,0,1
5c77c6d6fed91f583dd7a7a8,Земцов Николай Георгиевич,Депутат Государственной Думы,5,2,0.009041591320072333,429,22,31,20,21,25,0,5
5c77c6d6fed91f583dd7a7a9,Зиннуров Ирек Хайдарович,Депутат Государственной Думы,22,2,0.006183249016301293,2919,144,203,97,66,104,3,22
5c77c6d6fed91f583dd7a7aa,Зобнев Виктор Викторович,Депутат Государственной Думы,1,2,0.003436426116838488,214,21,37,12,2,4,0,1
5c77c6d6fed91f583dd7a7ab,Зубарев Виктор Владиславович,Депутат Государственной Думы,29,2,0.007975797579757976,2981,128,177,106,85,130,0,29
5c77c6d6fed91f583dd7a7ac,Зюганов Геннадий Андреевич,Депутат Государственной Думы,8,2,0.007850834151128557,313,166,434,39,19,40,0,8
5c77c6d6fed91f583dd7a7ad,Иванов Валерий Викторович,Депутат Государственной Думы,223,2,0.016656707499253062,8800,682,1230,1044,413,978,18,223
5c77c6d6fed91f583dd7a7ae,Иванов Максим Анатольевич,Депутат Государственной Думы,30,2,0.009829619921363041,2353,132,216,108,83,130,0,30
5c77c6d6fed91f583dd7a7af,Иванов Николай Николаевич,Депутат Государственной Думы,10,2,0.010672358591248666,349,122,331,52,11,56,6,10
5c77c6d6fed91f583dd7a7b0,Иванов Сергей Владимирович,Депутат Государственной Думы,5,3,0.0034746351633078527,317,161,898,21,13,24,0,5
5c77c6d6fed91f583dd7a7b1,Игнатов Виктор Александрович,Депутат Государственной Думы,3,2,0.009009009009009009,251,15,23,15,10,16,0,3
5c77c6d6fed91f583dd7a7b2,Игошин Игорь Николаевич,Депутат Государственной Думы,16,2,0.018327605956471937,528,67,86,67,37,72,0,16
5c77c6d6fed91f583dd7a7b3,Изотов Алексей Николаевич,Депутат Государственной Думы,14,2,0.012715712988192553,794,69,75,52,37,60,0,14
5c77c6d6fed91f583dd7a7b4,Ильтяков Александр Владимирович,Депутат Государственной Думы,18,2,0.010428736964078795,1323,72,117,86,30,80,0,18
5c77c6d6fed91f583dd7a7b5,Ионин Дмитрий Александрович,Депутат Государственной Думы,2,2,0.004210526315789474,255,99,91,8,12,8,0,2
5c77c6d6fed91f583dd7a7b6,Исаев Андрей Константинович,Депутат Государственной Думы,18,2,0.015748031496062992,687,82,134,82,52,88,0,18
5c77c6d6fed91f583dd7a7b7,Исламов Дмитрий Викторович,Депутат Государственной Думы,1,2,0.009523809523809525,63,11,10,7,5,8,0,1
5c77c6d6fed91f583dd7a7b8,Ишсарин Рамзил Рафаилович,Депутат Государственной Думы,17,2,0.014190317195325543,815,57,121,62,46,80,0,17
5c77c6d6fed91f583dd7a7b9,Ищенко Александр Николаевич,Депутат Государственной Думы,27,2,0.009352268791132663,2211,125,207,119,73,122,3,27
5c77c6d6fed91f583dd7a7ba,Кабанова Валентина Викторовна,Депутат Государственной Думы,27,2,0.009673951988534575,2145,103,183,143,71,116,3,27
5c77c6d6fed91f583dd7a7bb,Кавинов Артем Александрович,Депутат Государственной Думы,12,2,0.007926023778071334,1201,67,92,45,39,58,0,12
5c77c6d6fed91f583dd7a7bc,Казаков Виктор Алексеевич,Депутат Государственной Думы,14,2,0.015418502202643172,594,53,111,53,27,56,0,14
5c77c6d6fed91f583dd7a7bd,Казакова Ольга Михайловна,Депутат Государственной Думы,35,2,0.01257183908045977,2026,131,217,143,83,149,0,35
5c77c6d6fed91f583dd7a7be,Казанков Сергей Иванович,Депутат Государственной Думы,1,2,0.003076923076923077,171,59,85,3,2,4,0,1
5c77c6d6fed91f583dd7a7bf,Калашников Леонид Иванович,Депутат Государственной Думы,4,2,0.006622516556291391,391,64,106,14,9,16,0,4
5c77c6d6fed91f583dd7a7c0,Каличенко Андрей Владимирович,Депутат Государственной Думы,17,1,0.00571236559139785,2507,98,155,74,45,77,3,17
5c77c6d6fed91f583dd7a7c1,Каминский Александр Викторович,Депутат Государственной Думы,12,2,0.007317073170731708,1353,51,85,52,35,52,0,12
5c77c6d6fed91f583dd7a7c2,Канаев Алексей Валерианович,Депутат Государственной Думы,41,2,0.008155957827730256,4022,187,304,176,117,177,3,41
5c77c6d6fed91f583dd7a7c3,Карамышев Виктор Николаевич,Депутат Государственной Думы,31,2,0.006887358364807821,3659,177,271,137,87,136,3,31
5c77c6d6fed91f583dd7a7c4,Каргинов Сергей Генрихович,Депутат Государственной Думы,7,2,0.0064754856614246065,352,130,533,27,6,26,0,7
5c77c6d6fed91f583dd7a7c5,Карелин Александр Александрович,Депутат Государственной Думы,5,3,0.025906735751295335,102,14,19,16,14,23,0,5
5c77c6d6fed91f583dd7a7c6,Карлов Георгий Александрович,Депутат Государственной Думы,18,2,0.009809264305177113,1351,98,138,85,55,90,0,18
5c77c6d6fed91f583dd7a7c7,Кармазина Раиса Васильевна,Депутат Государственной Думы,61,2,0.011897795982055783,3788,235,376,274,129,252,12,61
5c77c6d6fed91f583dd7a7c8,Карпов Анатолий Евгеньевич,Депутат Государственной Думы,22,2,0.007865570253843403,2272,88,195,95,39,86,0,22
5c77c6d6fed91f583dd7a7c9,Касаева Татьяна Викторовна,Депутат Государственной Думы,25,2,0.009160864785635764,2129,109,182,97,77,110,0,25
5c77c6d6fed91f583dd7a7ca,Катасонов Сергей Михайлович,Депутат Государственной Думы,5,2,0.0035335689045936395,483,196,637,33,17,32,12,5
5c77c6d6fed91f583dd7a7cb,Катенев Владимир Иванович,Депутат Государственной Думы,28,2,0.007583965330444204,3051,117,184,106,81,125,0,28
5c77c6d6fed91f583dd7a7cc,Качкаев Павел Рюрикович,Депутат Государственной Думы,36,2,0.014178810555336747,1640,133,278,196,84,160,12,36
